,Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Matches,LgRank,MP,Matches,Playing Time : MP,Matches
68,Divock Origi,2020-2021,25,Liverpool,,1. Champions Lg,4,3,209,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,1,2,12,0.00,0.43,0.43,0.00,0.43,0.06,0.24,0.30,0.06,0.30,Matches,,,,,,
69,Divock Origi,2021-2022,26,Liverpool,,1. Champions Lg,7,2,187,2.1,1,1,2,1,0,0,0,0,0.8,0.7,0.8,1.5,6,2,16,0.48,0.48,0.96,0.48,0.96,0.38,0.38,0.76,0.36,0.74,Matches,,,,,,
70,Divock Origi,2022-2023,27,Milan,,1. Champions Lg,8,0,154,1.7,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,5,4,9,0.00,0.00,0.00,0.00,0.00,0.39,0.12,0.51,0.39,0.51,Matches,,,,,,
71,Divock Origi,2023-2024,28,Nott'ham Forest,eng ENG,FA Cup,2,2,152,1.7,1,0,1,1,0,0,0,0,,,,,,,,0.59,0.00,0.59,0.59,0.59,,,,,,Matches,,,,,,
93,Neco Williams,2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,4,4,360,4.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
94,Neco Williams,2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,8,8,720,8.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
95,Neco Williams,2019-2020,18,Liverpool,eng ENG,EFL Cup,1,1,120,1.3,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.75,0.75,0.00,0.75,,,,,,Matches,,,,,,
96,Neco Williams,2020-2021,19,Liverpool,,1. Champions Lg,4,2,190,2.1,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,3,13,4,0.00,0.47,0.47,0.00,0.47,0.04,0.42,0.46,0.04,0.46,Matches,,,,,,
97,Neco Williams,2021-2022,20,Liverpool,,1. Champions Lg,3,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,6,12,13,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.23,0.06,0.23,Matches,,,,,,
98,Neco Williams,2022-2023,21,Nott'ham Forest,eng ENG,EFL Cup,4,2,224,2.5,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.40,0.40,0.00,0.40,,,,,,Matches,,,,,,
99,Neco Williams,2023-2024,22,Nott'ham Forest,eng ENG,EFL Cup,1,1,69,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
100,Neco Williams,2024-2025,23,Nott'ham Forest,eng ENG,EFL Cup,1,0,53,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
114,Takumi Minamino,2014-2015,19,RB Salzburg,at AUT,1. Bundesliga,14,9,799,8.9,3,3,6,3,0,0,2,0,,,,,,,,0.34,0.34,0.68,0.34,0.68,,,,,,Matches,,,,,,
115,Takumi Minamino,2015-2016,20,RB Salzburg,at AUT,1. Bundesliga,32,22,2008,22.3,10,3,13,10,0,0,0,0,,,,,,,,0.45,0.13,0.58,0.45,0.58,,,,,,Matches,,,,,,
116,Takumi Minamino,2016-2017,21,RB Salzburg,at AUT,1. Bundesliga,21,11,1152,12.8,11,2,13,11,0,0,1,0,,,,,,,,0.86,0.16,1.02,0.86,1.02,,,,,,Matches,,,,,,
117,Takumi Minamino,2017-2018,22,RB Salzburg,at AUT,1. Bundesliga,28,20,1675,18.6,7,3,10,7,0,0,0,0,,,,,,,,0.38,0.16,0.54,0.38,0.54,,,,,,Matches,,,,,,
118,Takumi Minamino,2018-2019,23,RB Salzburg,at AUT,1. Bundesliga,27,19,1744,19.4,6,4,10,6,0,0,3,0,,,,,,,,0.31,0.21,0.52,0.31,0.52,,,,,,Matches,,,,,,
119,Takumi Minamino,2019-2020,24,RB Salzburg,at AUT,1. Bundesliga,14,11,905,10.1,5,5,10,5,0,0,1,0,,,,,,,,0.50,0.50,0.99,0.50,0.99,,,,,,Matches,,,,,,
120,Takumi Minamino,2020-2021,25,Liverpool,,1. Champions Lg,4,2,186,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,2,6,13,0.00,0.00,0.00,0.00,0.00,0.08,0.30,0.38,0.08,0.38,Matches,,,,,,
121,Takumi Minamino,2021-2022,26,Liverpool,,1. Champions Lg,4,2,217,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,12,7,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches,,,,,,
122,Takumi Minamino,2022-2023,27,Monaco,fr FRA,Coupe de France,1,1,71,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
123,Takumi Minamino,2023-2024,28,Monaco,fr FRA,Coupe de France,1,1,60,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
124,Takumi Minamino,2024-2025,29,Monaco,,1. Champions Lg,5,3,314,3.5,2,1,3,2,0,0,0,0,2.1,2.1,0.4,2.5,4,13,29,0.57,0.29,0.86,0.57,0.86,0.60,0.11,0.71,0.60,0.71,Matches,,,,,,
143,Xherdan Shaqiri,2010-2011,18,Basel,,1. Champions Lg,6,6,513,5.7,1,1,2,1,0,0,0,0,,,,,,,,0.18,0.18,0.35,0.18,0.35,,,,,,Matches,,,,,,
144,Xherdan Shaqiri,2011-2012,19,Basel,,1. Champions Lg,6,6,515,5.7,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.17,0.17,0.00,0.17,,,,,,Matches,,,,,,
145,Xherdan Shaqiri,2012-2013,20,Bayern Munich,de GER,1. Bundesliga,26,13,1376,15.3,4,5,9,4,0,0,1,0,,,,,,,,0.26,0.33,0.59,0.26,0.59,,,,,,Matches,,,,,,
146,Xherdan Shaqiri,2013-2014,21,Bayern Munich,de GER,1. Bundesliga,17,10,782,8.7,6,2,8,6,0,0,0,0,,,,,,,,0.69,0.23,0.92,0.69,0.92,,,,,,Matches,,,,,,
147,Xherdan Shaqiri,2014-2015,22,Bayern Munich,de GER,1. Bundesliga,9,3,343,3.8,1,2,3,1,0,0,0,0,,,,,,,,0.26,0.52,0.79,0.26,0.79,,,,,,Matches,,,,,,
148,Xherdan Shaqiri,2015-2016,23,Stoke City,eng ENG,FA Cup,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
149,Xherdan Shaqiri,2016-2017,24,Stoke City,eng ENG,FA Cup,1,1,71,0.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
150,Xherdan Shaqiri,2017-2018,25,Stoke City,eng ENG,EFL Cup,1,0,17,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
151,Xherdan Shaqiri,2018-2019,26,Liverpool,,1. Champions Lg,4,2,176,2.0,0,2,2,0,0,0,0,0,0.4,0.4,0.9,1.3,9,13,14,0.00,1.02,1.02,0.00,1.02,0.21,0.44,0.65,0.21,0.65,Matches,,,,,,
152,Xherdan Shaqiri,2019-2020,27,Liverpool,,1. Champions Lg,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
153,Xherdan Shaqiri,2020-2021,28,Liverpool,,1. Champions Lg,5,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,13,11,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches,,,,,,
154,Xherdan Shaqiri,2021-2022,29,Lyon,,2. Europa Lg,5,4,309,3.4,0,0,0,0,0,0,0,0,0.7,0.7,1.2,1.9,4,21,24,0.00,0.00,0.00,0.00,0.00,0.21,0.34,0.55,0.21,0.55,Matches,,,,,,
158,Xherdan Shaqiri,2024-2025,32,Basel,ch SUI,1. Super Lg,14,12,1019,11.3,4,8,12,4,0,1,1,0,,,,,,,,0.35,0.71,1.06,0.35,1.06,,,,,,Matches,,,,,,
183,Rhian Brewster,2016-2017,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,8,8,703,7.8,3,3,6,3,0,0,0,0,,,,,,,,0.38,0.38,0.77,0.38,0.77,,,,,,Matches,,,,,,
184,Rhian Brewster,2017-2018,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,11,10,832,9.2,5,6,11,5,0,0,3,0,,,,,,,,0.54,0.65,1.19,0.54,1.19,,,,,,Matches,,,,,,
185,Rhian Brewster,2018-2019,18,Liverpool,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
186,Rhian Brewster,2019-2020,19,Liverpool,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
187,Rhian Brewster,2020-2021,20,Liverpool,eng ENG,Community Shield,1,0,31,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
188,Rhian Brewster,2021-2022,21,Sheffield Utd,eng ENG,2. Championship,14,10,797,8.9,3,0,3,3,0,0,2,0,3.2,3.2,0.1,3.3,10,16,51,0.34,0.00,0.34,0.34,0.34,0.36,0.02,0.38,0.36,0.38,Matches,,,,,,
189,Rhian Brewster,2022-2023,22,Sheffield Utd,eng ENG,2. Championship,16,5,570,6.3,1,1,2,1,0,1,1,0,2.9,2.1,0.3,2.5,8,8,37,0.16,0.16,0.32,0.16,0.32,0.46,0.05,0.51,0.34,0.39,Matches,,,,,,
190,Rhian Brewster,2023-2024,23,Sheffield Utd,eng ENG,FA Cup,1,0,19,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
191,Rhian Brewster,2024-2025,24,Sheffield Utd,eng ENG,2. Championship,15,4,438,4.9,1,1,2,1,0,0,1,0,1.4,1.4,0.7,2.1,10,18,19,0.21,0.21,0.41,0.21,0.41,0.28,0.15,0.43,0.28,0.43,Matches,,,,,,
205,Ki Jana Hoever,2018-2019,16,Liverpool,eng ENG,FA Cup,1,0,85,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
206,Ki Jana Hoever,2019-2020,17,Liverpool,eng ENG,EFL Cup,2,2,170,1.9,1,0,1,1,0,0,0,0,,,,,,,,0.53,0.00,0.53,0.53,0.53,,,,,,Matches,,,,,,
