Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 22_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Matches,MP,LgRank,MP,Matches,Matches
Oleksandr Zinchenko,2015-2016,18,Ufa,ru RUS,1. Premier League,24,19,1700,18.9,2,4,6,2,0,0,3,0,,,,,,,,0.11,0.21,0.32,0.11,0.32,,,,,,Matches,,,,,,
Oleksandr Zinchenko,2016-2017,19,PSV Eindhoven,,1. Champions Lg,4,2,173,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Oleksandr Zinchenko,2017-2018,20,Manchester City,,1. Champions Lg,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3,11,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,
Oleksandr Zinchenko,2018-2019,21,Manchester City,,1. Champions Lg,5,4,337,3.7,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,15,32,27,0.00,0.27,0.27,0.00,0.27,0.01,0.17,0.18,0.01,0.18,Matches,,,,,,
Oleksandr Zinchenko,2019-2020,22,Manchester City,,1. Champions Lg,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,
Oleksandr Zinchenko,2020-2021,23,Manchester City,,1. Champions Lg,9,6,587,6.5,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.4,24,42,60,0.00,0.15,0.15,0.00,0.15,0.05,0.01,0.07,0.05,0.07,Matches,,,,,,
Oleksandr Zinchenko,2021-2022,24,Manchester City,,1. Champions Lg,8,5,502,5.6,0,2,2,0,0,0,2,0,0.4,0.4,0.8,1.2,24,48,28,0.00,0.36,0.36,0.00,0.36,0.07,0.15,0.22,0.07,0.22,Matches,,,,,,
Oleksandr Zinchenko,2022-2023,25,Arsenal,eng ENG,EFL Cup,1,0,19,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Oleksandr Zinchenko,2023-2024,26,Arsenal,,1. Champions Lg,6,3,278,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,9,29,5,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,,,,,,
Oleksandr Zinchenko,2024-2025,27,Arsenal,,1. Champions Lg,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.51,0.00,0.51,Matches,,,,,,
Oleksandr Zinchenko,11 Seasons,11 Seasons,5 Clubs,,9 Leagues,259,188,17480,194.2,6,27,33,6,0,0,20,1,4.9,4.9,13.8,18.6,356,1153,705,0.03,0.14,0.17,0.03,0.17,0.04,0.11,0.14,0.04,0.14,,,,,,,
Oleksandr Zinchenko,,,,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,
Oleksandr Zinchenko,Manchester City (5 Seasons),Manchester City (5 Seasons),Manchester City (5 Seasons),,5 Leagues,128,99,9467,105.2,2,12,14,2,0,0,8,1,2.7,2.7,8.6,11.3,232,630,560,0.02,0.11,0.13,0.02,0.13,0.03,0.11,0.14,0.03,0.14,,,,,,,
Oleksandr Zinchenko,Arsenal (3 Seasons),Arsenal (3 Seasons),Arsenal (3 Seasons),,5 Leagues,77,55,4795,53.3,2,4,6,2,0,0,9,0,2.2,2.2,5.1,7.3,124,523,145,0.04,0.08,0.11,0.04,0.11,0.04,0.10,0.15,0.04,0.15,,,,,,,
Oleksandr Zinchenko,Ufa (2 Seasons),Ufa (2 Seasons),Ufa (2 Seasons),,1 League,31,21,1937,21.5,2,4,6,2,0,0,3,0,,,,,,,,0.09,0.19,0.28,0.09,0.28,,,,,,,,,,,,
Oleksandr Zinchenko,PSV Eindhoven (1 Season),PSV Eindhoven (1 Season),PSV Eindhoven (1 Season),,2 Leagues,16,6,672,7.5,0,3,3,0,0,0,0,0,,,,,,,,0.00,0.40,0.40,0.00,0.40,,,,,,,,,,,,
Oleksandr Zinchenko,Jong PSV (1 Season),Jong PSV (1 Season),Jong PSV (1 Season),,1 League,7,7,609,6.8,0,4,4,0,0,0,0,0,,,,,,,,0.00,0.59,0.59,0.00,0.59,,,,,,,,,,,,
Oleksandr Zinchenko,Premier League (8 Seasons),Premier League (8 Seasons),Premier League (8 Seasons),,,136,106,9562,106.2,2,11,13,2,0,0,10,1,3.9,3.9,11.1,15.0,275,972,562,0.02,0.10,0.12,0.02,0.12,0.04,0.10,0.14,0.04,0.14,,,,,,,
Oleksandr Zinchenko,Champions Lg (8 Seasons),Champions Lg (8 Seasons),Champions Lg (8 Seasons),,,37,22,2104,23.4,0,4,4,0,0,0,5,0,0.8,0.8,1.8,2.7,79,167,137,0.00,0.17,0.17,0.00,0.17,0.04,0.09,0.13,0.04,0.13,,,,,,,
Oleksandr Zinchenko,EFL Cup (8 Seasons),EFL Cup (8 Seasons),EFL Cup (8 Seasons),,,19,17,1622,18.0,1,1,2,1,0,0,0,0,,,,,,,,0.06,0.06,0.11,0.06,0.11,,,,,,,,,,,,
Oleksandr Zinchenko,FA Cup (6 Seasons),FA Cup (6 Seasons),FA Cup (6 Seasons),,,13,8,823,9.1,1,0,1,1,0,0,1,0,,,,,,,,0.11,0.00,0.11,0.11,0.11,,,,,,,,,,,,
Oleksandr Zinchenko,Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,31,21,1937,21.5,2,4,6,2,0,0,3,0,,,,,,,,0.09,0.19,0.28,0.09,0.28,,,,,,,,,,,,
Oleksandr Zinchenko,Eredivisie (1 Season),Eredivisie (1 Season),Eredivisie (1 Season),,,12,4,499,5.5,0,3,3,0,0,0,0,0,,,,,,,,0.00,0.54,0.54,0.00,0.54,,,,,,,,,,,,
