Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches,Matches
Alexander Nubel,2024-2025,27,Stuttgart,de GER,1. Bundesliga,13,13,1170,13.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.08,0.08,0.00,0.08,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,
Tiago Dantas,2020-2021,19,Bayern Munich II,de GER,3. 3. Liga,,7,456,5.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,7,,,,,
Tiago Dantas,2021-2022,20,Tondela,pt POR,1. Primeira Liga,,11,1099,12.2,1,2,3,1,0,0,0,0,1.1,1.1,1.8,2.9,16,60,31,0.08,0.16,0.25,0.08,0.25,0.09,0.15,0.24,0.09,0.24,Matches,26,,,,,
Tiago Dantas,2022-2023,21,PAOK,gr GRE,1. Super League,,24,1954,21.7,4,1,5,4,0,0,3,0,,,,,,,,0.18,0.05,0.23,0.18,0.23,,,,,,Matches,32,,,,,
Tiago Dantas,2023-2024,22,AZ Alkmaar,,3. Conf Lg,,2,196,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,16,2,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.18,0.15,0.18,Matches,4,,,,,
Tiago Dantas,2024-2025,23,Osijek,hr CRO,1. HNL,,12,1056,11.7,1,1,2,1,0,0,2,0,,,,,,,,0.09,0.09,0.17,0.09,0.17,,,,,,Matches,12,,,,,
Tanguy Nianzou,2020-2021,18,Bayern Munich,de GER,1. Bundesliga,6,0,118,1.3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,3,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Tanguy Nianzou,2021-2022,19,Bayern Munich,de GER,1. Bundesliga,17,6,582,6.5,1,1,2,1,0,0,4,0,0.4,0.4,1.5,1.9,6,41,3,0.15,0.15,0.31,0.15,0.31,0.06,0.23,0.29,0.06,0.29,Matches,,,,,,
Tanguy Nianzou,2022-2023,20,Bayern Munich,de GER,1. Bundesliga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Tanguy Nianzou,2023-2024,21,Sevilla,,1. Champions Lg,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,
