Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,LgRank,Playing Time : MP
Nassim Innocenti,2022-2023,20,Valenciennes,fr FRA,Coupe de France,2,2,166,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Cheikh Niasse,2018-2019,18,Lille,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Cheikh Niasse,2019-2020,19,Lille,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Cheikh Niasse,2020-2021,20,Lille,,2. Europa Lg,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,
Cheikh Niasse,2021-2022,21,Lille,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Cheikh Niasse,2022-2023,22,Young Boys,ch SUI,1. Super Lg,26,20,1689,18.8,0,1,1,0,0,0,7,0,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,Matches,,
Cheikh Niasse,2023-2024,23,Young Boys,,1. Champions Lg,6,6,534,5.9,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,2,16,4,0.00,0.17,0.17,0.00,0.17,0.05,0.05,0.09,0.05,0.09,Matches,,
Cheikh Niasse,2024-2025,24,Young Boys,,1. Champions Lg,4,3,258,2.9,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,6,14,2,0.00,0.35,0.35,0.00,0.35,0.02,0.02,0.03,0.02,0.03,Matches,,
Eugenio Pizzuto,2019-2020,17,Pachuca,mx MEX,1. Liga MX,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10th,
Eugenio Pizzuto,2020-2021,18,Lille,fr FRA,1. Ligue 1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,1st,
Eugenio Pizzuto,2023-2024,21,UANL,mx MEX,1. Liga MX,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,3rd,
Eugenio Pizzuto,2024-2025,22,UANL,mx MEX,1. Liga MX,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,3rd,
Usman Simbakoli,2020-2021,19,Stade Laval,fr FRA,Coupe de France,2,2,145,1.6,1,0,1,1,0,0,0,0,,,,,,,,0.62,0.00,0.62,0.62,0.62,,,,,,Matches,,
Usman Simbakoli,2024-2025,23,Servette FC,ch SUI,1. Super Lg,13,3,333,3.7,1,1,2,1,0,0,1,0,,,,,,,,0.27,0.27,0.54,0.27,0.54,,,,,,Matches,,
Kylian Mbappe,2015-2016,16,Monaco,fr FRA,1. Coupe de la Ligue,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Kylian Mbappe,2016-2017,17,Monaco,,1. Champions Lg,9,6,536,6.0,6,0,6,6,0,0,0,0,,,,,,,,1.01,0.00,1.01,1.01,1.01,,,,,,Matches,,
Kylian Mbappe,2017-2018,18,Paris S-G,,1. Champions Lg,8,8,658,7.3,4,3,7,4,0,0,1,0,4.1,4.1,3.2,7.3,38,20,78,0.55,0.41,0.96,0.55,0.96,0.56,0.45,1.01,0.56,1.01,Matches,,
