Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Playing Time
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,Matches,Matches,MP
Roberto Gagliardini,2020-2021,26,Inter,,1. Champions Lg,4,3,254,2.8,0,1,1,0,0,0,3,0,0.1,0.1,0.1,0.2,3,10,6,0.00,0.35,0.35,0.00,0.35,0.03,0.05,0.08,0.03,0.08,Matches,,,,,,
Roberto Gagliardini,2021-2022,27,Inter,,1. Champions Lg,5,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Roberto Gagliardini,2022-2023,28,Inter,,1. Champions Lg,6,1,116,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,7,4,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.23,0.06,0.23,Matches,,,,,,
Roberto Gagliardini,2023-2024,29,Monza,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Roberto Gagliardini,2024-2025,30,Monza,it ITA,1. Serie A,4,0,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches,,,,,,
Matteo Darmian,2020-2021,30,Inter,,1. Champions Lg,4,2,167,1.9,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.1,5,8,17,0.54,0.00,0.54,0.54,0.54,0.42,0.15,0.57,0.42,0.57,Matches,,,,,,
Matteo Darmian,2021-2022,31,Inter,,1. Champions Lg,5,3,197,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,4,16,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.05,0.08,Matches,,,,,,
Matteo Darmian,2022-2023,32,Inter,,1. Champions Lg,11,9,821,9.1,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,6,18,15,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,,,,,,
Matteo Darmian,2023-2024,33,Inter,,1. Champions Lg,7,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,,,,,,
Matteo Darmian,2024-2025,34,Inter,,1. Champions Lg,3,3,254,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,
Andrea Ranocchia,2020-2021,32,Inter,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Andrea Ranocchia,2021-2022,33,Inter,,1. Champions Lg,3,1,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,,,,,,
Andrea Ranocchia,2022-2023,34,Monza,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Danilo DAmbrosio,2020-2021,31,Inter,,1. Champions Lg,5,3,309,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,2,14,11,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches,,,,,,
Danilo DAmbrosio,2021-2022,32,Inter,,1. Champions Lg,3,1,147,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,,,,,,
Danilo DAmbrosio,2022-2023,33,Inter,,1. Champions Lg,6,1,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,9,2,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,,,,,,
Danilo DAmbrosio,2023-2024,34,Monza,it ITA,Coppa Italia,1,1,70,0.8,1,0,1,1,0,0,0,0,,,,,,,,1.29,0.00,1.29,1.29,1.29,,,,,,Matches,,,,,,
Danilo DAmbrosio,2024-2025,35,Monza,it ITA,Coppa Italia,2,2,146,1.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Stefano Sensi,2020-2021,24,Inter,,1. Champions Lg,1,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Stefano Sensi,2021-2022,25,Inter,,1. Champions Lg,2,0,11,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,Matches,,,,,,
Stefano Sensi,2022-2023,26,Monza,it ITA,Coppa Italia,2,0,43,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Stefano Sensi,2023-2024,27,Inter,it ITA,Coppa Italia,1,0,38,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Stefano Sensi,2024-2025,28,Monza,it ITA,Coppa Italia,2,0,56,0.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Matias Vecino,2020-2021,28,Inter,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Matias Vecino,2021-2022,29,Inter,,1. Champions Lg,4,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Matias Vecino,2022-2023,30,Lazio,,3. Conf Lg,4,3,291,3.2,0,0,0,0,0,0,1,0,1.0,1.0,0.1,1.1,6,14,1,0.00,0.00,0.00,0.00,0.00,0.32,0.02,0.34,0.32,0.34,Matches,,,,,,
Matias Vecino,2023-2024,31,Lazio,,1. Champions Lg,6,6,469,5.2,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,4,23,6,0.19,0.00,0.19,0.19,0.19,0.12,0.02,0.13,0.12,0.13,Matches,,,,,,
Matias Vecino,2024-2025,32,Lazio,,2. Europa Lg,5,5,366,4.1,0,1,1,0,0,0,0,0,0.5,0.5,1.1,1.6,7,29,7,0.00,0.25,0.25,0.00,0.25,0.12,0.27,0.39,0.12,0.39,Matches,,,,,,
Radja Nainggolan,2020-2021,32,Inter,,1. Champions Lg,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Radja Nainggolan,2021-2022,33,Antwerp,,2. Europa Lg,3,3,246,2.7,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.1,1,13,5,0.37,0.00,0.37,0.37,0.37,0.02,0.02,0.04,0.02,0.04,Matches,,,,,,
Radja Nainggolan,2022-2023,34,Antwerp,be BEL,1. Pro League A,12,7,667,7.4,1,1,2,1,0,0,2,0,1.3,1.3,1.3,2.6,9,46,48,0.13,0.13,0.27,0.13,0.27,0.18,0.17,0.35,0.18,0.35,Matches,,,,,,
Franco Carboni,2020-2021,17,Inter,it ITA,1. Serie A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Franco Carboni,2021-2022,18,Inter,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Franco Carboni,2022-2023,19,Cagliari,it ITA,Coppa Italia,1,0,17,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Franco Carboni,2023-2024,20,Monza,it ITA,Coppa Italia,1,0,33,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Franco Carboni,2024-2025,21,Venezia,it ITA,1. Serie A,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.00,0.80,Matches,,,,,,
Lorenzo Moretti,2020-2021,18,Inter,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Lorenzo Moretti,2024-2025,22,Cremonese,it ITA,Coppa Italia,1,1,86,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Lorenzo Pirola,2020-2021,18,Monza,it ITA,Coppa Italia,2,2,210,2.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Lorenzo Pirola,2021-2022,19,Monza,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Lorenzo Pirola,2022-2023,20,Salernitana,it ITA,Coppa Italia,1,1,76,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Lorenzo Pirola,2023-2024,21,Salernitana,it ITA,Coppa Italia,2,2,122,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
