Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches
Leonardo Balerdi,2021-2022,22,Marseille,,3. Conf Lg,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Leonardo Balerdi,2022-2023,23,Marseille,,1. Champions Lg,6,5,491,5.5,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,6,29,3,0.18,0.00,0.18,0.18,0.18,0.04,0.00,0.04,0.04,0.04,Matches,,,,,
Leonardo Balerdi,2023-2024,24,Marseille,fr FRA,Coupe de France,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Leonardo Balerdi,2024-2025,25,Marseille,fr FRA,1. Ligue 1,11,11,904,10.0,0,0,0,0,0,0,4,1,0.0,0.0,0.7,0.7,7,51,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,,,,,
Adrien Rabiot,2020-2021,25,Juventus,,1. Champions Lg,7,5,500,5.6,1,1,2,1,0,0,2,0,0.2,0.2,1.0,1.3,11,30,16,0.18,0.18,0.36,0.18,0.36,0.05,0.20,0.24,0.05,0.24,Matches,,,,,
Adrien Rabiot,2021-2022,26,Juventus,,1. Champions Lg,7,6,536,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,14,25,16,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,,,,,
Adrien Rabiot,2022-2023,27,Juventus,,1. Champions Lg,5,5,446,5.0,2,0,2,2,0,0,0,0,0.6,0.6,0.1,0.7,13,32,24,0.40,0.00,0.40,0.40,0.40,0.12,0.03,0.15,0.12,0.15,Matches,,,,,
Adrien Rabiot,2023-2024,28,Juventus,it ITA,Coppa Italia,4,4,360,4.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Adrien Rabiot,2024-2025,29,Marseille,fr FRA,1. Ligue 1,9,7,685,7.6,1,0,1,1,0,0,2,0,1.0,1.0,0.3,1.3,20,45,44,0.13,0.00,0.13,0.13,0.13,0.13,0.05,0.17,0.13,0.17,Matches,,,,,
Lilian Brassier,2020-2021,20,Brest,fr FRA,Coupe de France,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Lilian Brassier,2021-2022,21,Brest,fr FRA,Coupe de France,3,3,270,3.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Lilian Brassier,2022-2023,22,Brest,fr FRA,Coupe de France,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Lilian Brassier,2023-2024,23,Brest,fr FRA,Coupe de France,2,2,158,1.8,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Lilian Brassier,2024-2025,24,Marseille,fr FRA,1. Ligue 1,10,7,629,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,29,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,
Elye Wahi,2020-2021,17,Montpellier,fr FRA,Coupe de France,4,2,213,2.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Elye Wahi,2021-2022,18,Montpellier,fr FRA,Coupe de France,3,2,166,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Elye Wahi,2022-2023,19,Montpellier,fr FRA,1. Ligue 1,33,29,2513,27.9,19,5,24,18,1,1,8,1,12.2,11.4,3.6,15.0,57,25,190,0.68,0.18,0.86,0.64,0.82,0.44,0.13,0.56,0.41,0.54,Matches,,,,,
Elye Wahi,2023-2024,20,Lens,,1. Champions Lg,6,6,455,5.1,2,1,3,2,0,0,1,0,1.1,1.1,0.1,1.2,11,4,35,0.40,0.20,0.59,0.40,0.59,0.21,0.02,0.23,0.21,0.23,Matches,,,,,
Elye Wahi,2024-2025,21,Marseille,fr FRA,1. Ligue 1,12,7,542,6.0,2,1,3,1,1,1,1,0,5.2,4.4,0.4,4.8,7,7,40,0.33,0.17,0.50,0.17,0.33,0.85,0.07,0.93,0.72,0.79,Matches,,,,,
Neal Maupay,2020-2021,23,Brighton,eng ENG,EFL Cup,1,0,41,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Neal Maupay,2021-2022,24,Brighton,eng ENG,EFL Cup,1,0,22,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Neal Maupay,2022-2023,25,Everton,eng ENG,EFL Cup,1,1,80,0.9,0,1,1,0,0,0,0,0,,,,,,,,0.00,1.13,1.13,0.00,1.13,,,,,,Matches,,,,,
Neal Maupay,2023-2024,26,Everton,eng ENG,EFL Cup,1,0,7,0.1,0,1,1,0,0,0,0,0,,,,,,,,0.00,12.86,12.86,0.00,12.86,,,,,,Matches,,,,,
Neal Maupay,2024-2025,27,Marseille,fr FRA,1. Ligue 1,10,7,520,5.8,2,4,6,2,0,0,3,1,1.8,1.8,2.0,3.8,4,19,37,0.35,0.69,1.04,0.35,1.04,0.31,0.34,0.66,0.31,0.66,Matches,,,,,
Derek Cornelius,2021-2022,23,Panetolikos,gr GRE,1. Super League,,28,2490,27.7,2,0,2,2,0,0,11,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,,11th,29,Matches,,
Derek Cornelius,2022-2023,24,Panetolikos,gr GRE,1. Super League,,13,1170,13.0,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.08,0.08,0.00,0.08,,,,,,,11th,13,Matches,,
Derek Cornelius,2024-2025,26,Marseille,fr FRA,1. Ligue 1,,6,537,6.0,0,0,0,0,0,0,4,1,0.1,0.1,0.1,0.2,2,24,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,,2nd,8,Matches,,
Quentin Merlin,2020-2021,18,Nantes,fr FRA,Coupe de France,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Quentin Merlin,2021-2022,19,Nantes,fr FRA,Coupe de France,5,5,449,5.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
