Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 23_level_0,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches,Matches
Marcos Llorente,2023-2024,28,Atlético Madrid,,1. Champions Lg,9,6,648,7.2,0,1,1,0,0,0,1,0,0.3,0.3,2.2,2.5,17,29,51,0.00,0.14,0.14,0.00,0.14,0.04,0.31,0.34,0.04,0.34,Matches,,,,,,
Marcos Llorente,2024-2025,29,Atlético Madrid,,1. Champions Lg,4,4,302,3.4,1,4,5,1,0,0,0,0,0.2,0.2,1.9,2.1,14,19,36,0.30,1.19,1.49,0.30,1.49,0.07,0.55,0.62,0.07,0.62,Matches,,,,,,
Angel Correa,2020-2021,25,Atlético Madrid,,1. Champions Lg,8,5,482,5.4,0,2,2,0,0,0,0,0,0.3,0.3,2.0,2.3,12,20,47,0.00,0.37,0.37,0.00,0.37,0.06,0.37,0.43,0.06,0.43,Matches,,,,,,
Angel Correa,2021-2022,26,Atlético Madrid,,1. Champions Lg,10,3,405,4.5,1,0,1,1,0,0,2,0,0.9,0.9,0.3,1.2,12,13,30,0.22,0.00,0.22,0.22,0.22,0.19,0.07,0.27,0.19,0.27,Matches,,,,,,
Angel Correa,2022-2023,27,Atlético Madrid,,1. Champions Lg,6,3,315,3.5,0,0,0,0,0,0,0,0,0.8,0.8,0.4,1.2,7,14,28,0.00,0.00,0.00,0.00,0.00,0.26,0.13,0.39,0.26,0.39,Matches,,,,,,
Angel Correa,2023-2024,28,Atlético Madrid,,1. Champions Lg,10,2,324,3.6,1,0,1,1,0,0,1,0,2.1,2.1,0.8,2.9,7,21,34,0.28,0.00,0.28,0.28,0.28,0.63,0.25,0.88,0.63,0.88,Matches,,,,,,
Angel Correa,2024-2025,29,Atlético Madrid,,1. Champions Lg,5,2,217,2.4,3,0,3,3,0,0,2,0,1.6,1.6,0.4,2.0,9,8,12,1.24,0.00,1.24,1.24,1.24,0.65,0.16,0.81,0.65,0.81,Matches,,,,,,
Felipe,2020-2021,31,Atlético Madrid,,1. Champions Lg,5,4,383,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Felipe,2021-2022,32,Atlético Madrid,,1. Champions Lg,7,6,469,5.2,0,0,0,0,0,0,3,2,0.1,0.1,0.0,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,
Felipe,2022-2023,33,Atlético Madrid,,1. Champions Lg,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.18,0.05,0.23,0.18,0.23,Matches,,,,,,
Felipe,2023-2024,34,Nott'ham Forest,eng ENG,EFL Cup,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Saul Niguez,2020-2021,25,Atlético Madrid,,1. Champions Lg,6,6,460,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,5,26,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,,,,,,
Saul Niguez,2021-2022,26,Chelsea,,1. Champions Lg,5,1,161,1.8,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,5,8,0.00,0.00,0.00,0.00,0.00,0.17,0.02,0.19,0.17,0.19,Matches,,,,,,
Saul Niguez,2022-2023,27,Atlético Madrid,,1. Champions Lg,5,4,281,3.1,0,0,0,0,0,0,0,0,0.6,0.2,0.1,0.3,5,11,14,0.00,0.00,0.00,0.00,0.00,0.18,0.03,0.21,0.07,0.11,Matches,,,,,,
Saul Niguez,2023-2024,28,Atlético Madrid,,1. Champions Lg,10,5,435,4.8,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,2,12,12,0.21,0.00,0.21,0.21,0.21,0.08,0.03,0.11,0.08,0.11,Matches,,,,,,
Saul Niguez,2024-2025,29,Sevilla,es ESP,Copa del Rey,1,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
