Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Playing Time : MP,LgRank
Ander Herrera,2024-2025,34.0,Athletic Club,,2. Europa Lg,5.0,0.0,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,,
Ander Herrera,2023-2024,33.0,Athletic Club,es ESP,Copa del Rey,4.0,2.0,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Ander Herrera,2022-2023,32.0,Athletic Club,es ESP,Copa del Rey,3.0,2.0,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Ander Herrera,2021-2022,31.0,Paris S-G,,1. Champions Lg,6.0,4.0,326.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,1.0,19.0,9.0,0.28,0.0,0.28,0.28,0.28,0.04,0.05,0.09,0.04,0.09,Matches,,
Ander Herrera,2020-2021,30.0,Paris S-G,,1. Champions Lg,10.0,5.0,539.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.2,0.5,0.7,5.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.04,0.12,Matches,,
Ander Herrera,2019-2020,29.0,Paris S-G,,1. Champions Lg,6.0,4.0,324.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.0,1.1,3.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.29,0.3,0.02,0.3,Matches,,
Ander Herrera,2016-2017,26.0,Manchester Utd,eng ENG,Community Shield,1.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Ander Herrera,2015-2016,25.0,Manchester Utd,,1. Champions Lg,3.0,2.0,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Ander Herrera,2014-2015,24.0,Manchester Utd,eng ENG,FA Cup,5.0,3.0,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,0.67,0.0,0.67,0.67,0.67,,,,,,Matches,,
Ander Herrera,2013-2014,23.0,Athletic Club,es ESP,1. La Liga,33.0,31.0,2547.0,28.3,5.0,5.0,10.0,5.0,0.0,0.0,7.0,0.0,,,,,,,,0.18,0.18,0.35,0.18,0.35,,,,,,Matches,,
Ander Herrera,2012-2013,22.0,Athletic Club,,2. Europa Lg,3.0,2.0,208.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.43,0.0,0.43,0.43,0.43,,,,,,Matches,,
